[21:50:07] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[21:50:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[21:50:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[21:50:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[21:50:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[21:50:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[21:50:13] [Worker-Main-4/INFO]: Loaded 7 recipes
[21:50:14] [Worker-Main-4/INFO]: Loaded 1141 advancements
[21:50:17] [Server thread/INFO]: Starting minecraft server version 1.18.2
[21:50:17] [Server thread/INFO]: Loading properties
[21:50:17] [Server thread/INFO]: Default game type: SURVIVAL
[21:50:17] [Server thread/INFO]: Generating keypair
[21:50:18] [Server thread/INFO]: Starting Minecraft server on *:25565
[21:50:18] [Server thread/INFO]: Using epoll channel type
[21:50:18] [Server thread/INFO]: Preparing level "world"
[21:50:19] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[21:50:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:22] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:50:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:23] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:23] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:50:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:50:25] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[21:50:26] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:50:26] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:50:27] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[21:50:27] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[21:50:28] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[21:50:28] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[21:50:29] [Worker-Main-6/INFO]: Preparing spawn area: 3%
[21:50:29] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[21:50:30] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[21:50:30] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[21:50:31] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[21:50:31] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[21:50:32] [Worker-Main-6/INFO]: Preparing spawn area: 6%
[21:50:32] [Worker-Main-5/INFO]: Preparing spawn area: 9%
[21:50:33] [Worker-Main-5/INFO]: Preparing spawn area: 9%
[21:50:33] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[21:50:34] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[21:50:34] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[21:50:35] [Worker-Main-5/INFO]: Preparing spawn area: 9%
[21:50:35] [Worker-Main-5/INFO]: Preparing spawn area: 9%
[21:50:36] [Worker-Main-5/INFO]: Preparing spawn area: 9%
[21:50:36] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[21:50:37] [Worker-Main-6/INFO]: Preparing spawn area: 10%
[21:50:37] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[21:50:38] [Worker-Main-4/INFO]: Preparing spawn area: 11%
[21:50:38] [Worker-Main-4/INFO]: Preparing spawn area: 13%
[21:50:39] [Worker-Main-6/INFO]: Preparing spawn area: 16%
[21:50:39] [Worker-Main-6/INFO]: Preparing spawn area: 22%
[21:50:40] [Worker-Main-6/INFO]: Preparing spawn area: 29%
[21:50:40] [Worker-Main-4/INFO]: Preparing spawn area: 38%
[21:50:41] [Worker-Main-6/INFO]: Preparing spawn area: 40%
[21:50:41] [Worker-Main-6/INFO]: Preparing spawn area: 41%
[21:50:42] [Worker-Main-6/INFO]: Preparing spawn area: 46%
[21:50:42] [Worker-Main-4/INFO]: Preparing spawn area: 51%
[21:50:43] [Worker-Main-6/INFO]: Preparing spawn area: 57%
[21:50:43] [Worker-Main-6/INFO]: Preparing spawn area: 64%
[21:50:44] [Worker-Main-4/INFO]: Preparing spawn area: 72%
[21:50:44] [Worker-Main-6/INFO]: Preparing spawn area: 77%
[21:50:45] [Worker-Main-6/INFO]: Preparing spawn area: 81%
[21:50:45] [Worker-Main-4/INFO]: Preparing spawn area: 89%
[21:50:46] [Worker-Main-5/INFO]: Preparing spawn area: 98%
[21:50:47] [Server thread/INFO]: Time elapsed: 28442 ms
[21:50:47] [Server thread/INFO]: Done (28.793s)! For help, type "help"
[21:50:51] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2019ms or 40 ticks behind
